"country code",Country,World region,Survey,Year,MPI (National),Headcount ratio: Population in multidimensional poverty (H),Intensity of deprivation among the poor (A),Vulnerable to poverty (who experience 20-33.32% intensity of deprivations) ,In severe poverty (severity 50% or higher) ,"Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)Inequality
among the poor
(variance)","Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)Headcount ratio: Population in multidimensional  destitution poverty
(D)",Proportion of MPI poor who are destitute,"Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)Total number of indicators included 
(out of ten)",Indicator (s) missing,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking 
fuel",Sanitation,Drinking water,Electricity,Housing,Assets
COL,Colombia,Latin America and the Caribbean,DHS,2016,0.0196572726,4.8462503682,40.5618181788,6.2302873842,0.8261314739,0.0089943865,0.977118489,20.162361145,9,Nutrition,11.9948871434,39.5115166903,48.4935939312,,11.9948873172,32.6782992595,6.8332173454,10.4582154769,9.9087862045,9.3179146408,4.0876408908,11.2134044139,3.507634451
COM,Comoros,Sub-Saharan Africa,DHS,2012,0.1807714053,37.2649189488,48.509807721,22.253406896,16.0810129165,0.0199971329,12.8417135962,34.4605979919,10,,20.7581162453,31.6128015518,47.6290792227,17.4142447949,3.3438719634,18.0448502311,13.567951323,11.0130098697,9.588697319,5.92701524,6.7747650661,7.2940870526,7.0315071403
COG,Congo,Sub-Saharan Africa,MICS,2015,0.1116762938,24.2668348268,46.0201318374,21.3053860821,9.3790954845,0.0132768201,7.2556510448,29.8994541168,10,,23.4090328217,20.1503232121,56.4406454563,18.7206525195,4.6883798909,14.4494185067,5.7009043929,11.7446071391,11.4504956488,7.3830140909,10.0177746019,9.5953035985,6.2494496109
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2018,0.331188736,64.5179796371,51.3327816239,17.4219102083,36.7754614189,0.0204755887,33.3877503673,51.7495269775,10,,23.1306523085,19.8549389839,57.0144116879,19.5133776758,3.6172749017,8.2797230793,11.5752161214,10.7050025036,10.0217558217,8.5073669537,9.675355313,9.9371631489,8.1677644808
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,0.002006301,0.5404666405,37.1216433272,2.4098417381,0.0150831442,...*,0.0451273899,8.3497085571,9,Cooking fuel,40.4873728752,40.9883052111,18.524324894,19.0991432781,21.3882282925,26.6273116854,14.3609928854,,4.2364205051,1.8091576717,1.9002841308,7.9326474782,2.6458140729
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,0.2358709961,46.067484016,51.2011891118,17.5722901888,24.4654728801,0.0188988931,20.1428443842,43.724647522,10,,19.6174234152,40.4023766518,39.9801999331,14.5823570004,5.0350668713,22.4225082825,17.9798685168,10.2196954016,9.4726103438,5.4289766359,6.8253759367,5.6845542608,2.3489867503
CUB,Cuba,Latin America and the Caribbean,MICS,2019,0.002688705,0.706432026,38.0603504533,2.6547534994,0.0942253953,...*,0.115791969,16.3910980225,10,,10.099748522,39.8283481598,50.071901083,6.4460561635,3.6536923946,32.3251939478,7.5031562768,8.1165962076,10.7823817005,3.9741895381,0.9967162319,13.6826875523,12.5193299869
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,0.0087861887,2.2666077258,38.7636052136,4.7947468675,0.2424775074,0.0063051009,0.286222597,12.6277961731,10,,14.560085535,46.2351322174,39.2047822475,9.3970995324,5.1629866947,33.2046134292,13.0305204479,8.0764110614,9.1009781591,1.8307493919,2.8641967313,9.8020128682,7.530431684
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,0.0079374394,2.0912207232,37.9560095275,5.9304676793,0.1432479263,0.0039280439,0.3887797705,18.5910434723,10,,33.8858753443,27.3298978806,38.7842297554,30.5499879236,3.3358868623,15.4275300426,11.9023678073,7.2515634668,6.9703784457,5.7007577496,3.3384138786,7.0442341493,8.4788796742
EGY,Egypt,Arab States,DHS,2014,0.019681797,5.2386201066,37.5705751661,6.0897838019,0.58326487,0.0043888912,1.3029890636,24.8727531433,9,Cooking fuel,40.0178611279,53.0800461769,6.9020926952,33.1346424062,6.8832191303,24.2559045129,28.8241412187,,2.3945094329,1.1053537548,0.1802978201,2.4963583622,0.7255733619
SLV,El Salvador,Latin America and the Caribbean,MICS,2014,0.0324625095,7.8608855875,41.2962497557,9.8907354336,1.6646392092,0.0092105996,1.1475559521,14.5983037949,10,,15.4937967658,43.3938056231,41.112396121,13.2652238078,2.2285725575,26.4486557965,16.9451519212,10.7098003698,8.4989125032,3.2075345705,4.0300887335,10.3969907737,4.2690689664
SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,0.0812713201,19.2137752943,42.2984649427,20.8531259169,4.3568400484,0.0092476839,5.4838183433,28.5410766602,10,,29.2781025171,17.885658145,52.8362393379,23.3953486887,5.8827535726,12.3868225779,5.498835351,12.1462894034,8.960743955,8.8035192697,10.6971101362,5.9952432493,6.2333337963
ETH,Ethiopia,Sub-Saharan Africa,DHS,2019,0.366604242,68.736858094,53.3344485305,18.3536873892,41.8680337791,0.022019878,29.6132262996,43.0820198059,10,,14.0343487263,31.468847394,54.4968008995,12.2177950042,1.8165532788,17.3738753153,14.094973515,10.3436635482,9.8172750466,7.0920108056,8.6800020755,10.2340269255,8.3298244854
GAB,Gabon,Sub-Saharan Africa,DHS,2012,0.0696953623,15.601549598,44.6720768624,18.411281021,5.0976927857,0.0130232424,3.7808931976,24.2340869904,10,,32.6500087976,21.3853672147,45.9646224976,23.6791328772,8.9708765233,13.818822098,7.5665448486,7.6907985094,11.6410587778,7.9876673017,5.9142124194,7.3681305226,5.3627561219
GMB,Gambia,Sub-Saharan Africa,DHS,2020,0.1980230645,41.7090803647,47.4772070688,28.0313815287,17.2899941524,0.016049251,11.2828111863,27.0512104034,10,,32.7057033777,33.0047279596,34.2895686626,24.8361883516,7.8695155904,10.5715933317,22.4331351043,11.6181023775,8.0845471606,2.8481417656,7.3862012682,3.4212294714,0.9313455786
GEO,Georgia,Europe and Central Asia,MICS,2018,0.0012446003,0.3401258557,36.5923448706,2.0838914357,0.0126870036,...*,0.0973952691,28.6350669861,10,,47.1430540085,23.7637072802,29.0932387114,12.5219120207,34.6211434443,6.1257066316,17.6379998919,7.7272095969,6.7673231924,5.3385850044,0.141360162,7.0996988309,2.0190612249
GHA,Ghana,Sub-Saharan Africa,MICS,2018,0.1112183237,24.637100685,45.1426185116,20.0969302229,8.3962631549,0.0136317769,6.9945504054,28.3903141022,10,,23.5607355833,30.5044800043,45.9347844124,18.5329327626,5.0278033353,18.6785113491,11.8259680208,12.2158788043,11.3700273262,6.1610006067,5.4066782625,6.8056316467,3.9755678858
GTM,Guatemala,Latin America and the Caribbean,DHS,2015,0.1335178204,28.881828204,46.2290058195,21.0876458565,11.2153793964,0.0133003844,7.5037404874,25.9808368683,10,,26.3250142336,35.0019842386,38.6730015278,23.6991795262,2.6258352535,19.9403506951,15.0616347107,11.5853000283,4.5106405433,4.3585236202,4.2109974599,9.4616987902,4.5458393727
GIN,Guinea,Sub-Saharan Africa,DHS,2018,0.3732216344,66.2111021065,56.3684370893,16.4050465952,43.5149436426,0.0247734804,39.1334949296,59.1041297913,10,,21.3529512286,38.3782297373,40.2688205242,15.9558877686,5.3970631256,20.5773091996,17.800922083,9.7857048776,8.2509444527,5.5028292695,7.2938406084,5.8363043276,3.5991942873
GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2019,0.3406887234,64.3963104807,52.9050066533,19.9565254557,35.8817017123,0.0212986562,25.4052868739,39.451461792,10,,19.1489338875,35.0063711405,45.8446979523,15.7562319572,3.392702106,19.9742804408,15.0320905369,10.469562161,9.984358267,5.542114474,7.4106317317,10.3563311009,2.0816972244
GUY,Guyana,Latin America and the Caribbean,MICS,2020,0.0065923517,1.6985814317,38.8109253292,6.5354201628,0.1843361679,0.0057720179,0.328725912,19.3529682159,10,,29.2325407267,23.0272173882,47.7402418852,24.4645716139,4.7679680468,13.3730986742,9.6541186775,7.2021425944,5.719781414,4.7821233661,8.8040488476,11.5965559854,9.63559078
HTI,Haiti,Latin America and the Caribbean,DHS,2017,0.1995876945,41.2688983244,48.362738671,21.8481466032,18.5269679571,0.0187450349,15.0422662922,36.4494018555,10,,18.475086987,24.5719656348,56.9529414177,15.2510105374,3.2240766156,19.0705374107,5.5014282564,11.4193430104,10.0376485336,8.1277056624,10.2059281142,8.2666202531,8.8957016063
HND,Honduras,Latin America and the Caribbean,MICS,2019,0.0511541694,11.9749223951,42.7177460515,14.7918058314,3.0268558319,0.010766576,1.6586056934,13.8506593704,10,,18.8028365374,39.2043739557,41.9927924871,16.8281504558,1.9746857508,19.8627409957,19.3416337583,12.2557080063,6.5632362018,1.9860138487,5.5105551635,9.6841738592,5.9931019601
IND,India,South Asia,DHS,2021,0.0688105643,16.3928060091,41.9760743288,18.6868992539,4.245350519,0.0104479315,5.2441231474,31.9903926849,10,,32.1588695049,28.1703561544,39.6707773209,28.578612445,3.5802576041,18.7096466867,9.4607091528,11.2217895477,9.1121361707,2.1511761981,1.6770272916,10.9855832308,4.5230616725
IDN,Indonesia,East Asia and the Pacific,DHS,2017,0.0140107489,3.6190070372,38.7143455362,4.7438805068,0.4439265028,0.006326159,1.8439845299,50.9527740479,9,Nutrition,34.7420930862,26.7677873373,38.4901225567,,34.7420916772,18.4564332027,8.3113540021,9.4359565418,8.6518757113,5.355627288,3.0557530056,5.1911679505,6.7997406208
IRQ,Iraq,Arab States,MICS,2018,0.0326943224,8.635418988,37.8607250287,5.2437315668,1.3125265638,0.0054351017,1.0930486928,12.6577377319,10,,33.0719947815,60.923409462,6.0045912862,25.6971928022,7.3748032991,27.992970972,32.9304417912,0.2763069995,2.3965771639,0.7014854512,0.0858700475,2.2489427223,0.2954087511
JAM,Jamaica,Latin America and the Caribbean,JSLC,2018,0.0108102917,2.7756621959,38.9467123553,5.0026432734,0.2323416894,0.0045916154,0.8463992198,30.4935970306,9,Child mortality,52.2192180157,20.890493691,26.8902927637,52.2192159248,,10.5140168024,10.3764769149,4.8323941444,5.6982771273,6.4971935362,1.5336683115,6.0967756925,2.2319815459
JOR,Jordan,Arab States,DHS,2018,0.0015259205,0.4312032395,35.3875002659,0.6946407225,0.0014041432,...*,0.1188875297,27.5711116791,10,,37.5038921833,53.4904658794,9.0056434274,19.1836829845,18.3202096618,26.7886189969,26.7018446568,0.3423614279,1.4272452805,2.101721028,0,3.918920662,1.2153953014
KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,0.0016106327,0.4529778969,35.5565398003,1.8000207693,0,...*,0.1243112202,27.4431095123,10,,90.4434263706,3.1135251746,6.4430475235,46.6832498248,43.7601773201,0.1904526229,2.9230725048,1.0378417092,0,2.0855034599,0.0634842076,3.1927341432,0.0634842076
KEN,Kenya,Sub-Saharan Africa,DHS,2014,0.170776075,37.4771454499,45.568058323,35.7867743411,12.4395425283,0.0137738967,13.4855975375,35.9835243225,10,,23.5193997622,14.9717152119,61.5088880062,20.070614202,3.4487862088,9.7083671254,5.2633474669,11.9752740013,10.7199222514,8.7559674906,11.3698214175,12.1686686378,6.5192311983
KIR,Kiribati,East Asia and the Pacific,MICS,2019,0.080157405,19.8025910262,40.4782408877,30.2183566458,3.5326586414,0.0059282109,6.5073695905,32.86120224,10,,30.257833004,12.1008649468,57.6413035393,21.2952523508,8.9625822035,0.7866145381,11.3142503058,10.4778408669,11.2257117587,5.5718919121,10.5194168432,13.2839013487,6.5625378722
KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2018,0.0014259649,0.3930310792,36.2812252804,5.2383765927,0,...*,0.0593548412,15.1018190384,10,,64.6040558815,17.8538516164,17.5420939922,45.9374415772,18.6666136454,4.6130462202,13.2408046001,10.2921578366,2.0641292177,3.758992189,0,1.4268147139,0
LAO,Lao PDR,East Asia and the Pacific,MICS,2017,0.1083332502,23.0723457709,46.9537217075,21.1813868775,9.5604842271,0.0157734137,5.999847321,26.0044956207,10,,21.4908987284,39.6672099829,38.8418883085,18.5277926785,2.9631060782,25.6138065986,14.0534035509,11.7435094943,8.8144666402,5.3563542726,3.1115985485,6.1664569793,3.6495051589
LSO,Lesotho,Sub-Saharan Africa,MICS,2018,0.0843591909,19.6045417303,43.0304324498,28.5972314876,4.9967800824,0.0085987775,4.1246845717,21.039434433,9,Cooking fuel,21.869070828,18.1347131729,59.9962174892,18.9362284906,2.9328426491,10.90512957,7.2295838915,,11.6991031171,9.1817820341,14.5126724773,12.559749427,12.0429083433
LBR,Liberia,Sub-Saharan Africa,DHS,2020,0.2592937311,52.3230745242,49.5562872533,23.3137077515,24.8618703029,0.0177616347,21.6639488043,41.4041976929,10,,19.7224318981,28.583201766,51.6943633556,15.8296407301,3.8927910723,16.4387166602,12.1444864865,11.1005537669,10.0352457693,4.8869053912,10.2492093153,7.8360163096,7.5864344986
LBY,Libya,Arab States,PAPFAM,2014,0.0074214648,1.9985189431,37.1348232262,11.3629832701,0.0929012655,0.0027764821,0.7297006609,36.5120697021,10,,38.995090127,48.5685378313,12.4363735318,34.0985950428,4.8964946082,29.064922683,19.5036141518,0.174622716,2.4192238713,6.3386437174,0.3473728962,2.9065334977,0.2499768155
MDG,Madagascar,Sub-Saharan Africa,MICS,2018,0.383974457,69.0783236915,55.5853756187,14.2628780078,45.5054928285,0.0233238544,30.8648326534,44.6809234619,10,,15.4904767871,33.0591678619,51.4503538609,13.2285511315,2.2619262369,21.4275334481,11.6316361936,9.969708862,9.8739298454,7.6446793478,7.9718748541,8.914542606,7.0756174746
MWI,Malawi,Sub-Saharan Africa,MICS,2020,0.2310952042,49.8833869846,46.3270876749,27.5323142449,17.5144682038,0.0124138137,13.1503228596,26.3621292114,10,,18.597766757,25.5270719528,55.8751583099,15.9724501693,2.6253162907,19.8923325262,5.6347401619,11.9449066255,7.7371799003,5.3498966602,11.2299702495,10.7931742916,8.8200331248
MDV,Maldives,South Asia,DHS,2017,0.0026540936,0.7719890361,34.379939335,4.8432957329,0,...*,0.2536840527,32.8610954285,10,,80.6948781013,15.1314750314,4.1736435145,46.2645081177,34.4303729147,4.8972634276,10.2342118373,0.5947948164,0.3764697078,0.6133624015,0.1148239028,2.3593689715,0.1148239028
MLI,Mali,Sub-Saharan Africa,DHS,2018,0.3760629216,68.3322511319,55.0344698694,15.2601200224,44.7044564777,0.0216031428,40.2933681894,58.9668388367,10,,19.5699095726,41.1667883396,39.2633020878,14.320669661,5.2492399028,20.5727412656,20.5940480208,10.0012139017,7.689730511,4.9800535681,6.4286525273,8.9346356482,1.2290149936
MRT,Mauritania,Sub-Saharan Africa,DHS,2021,0.3270372485,58.4480827438,55.953460423,12.2820900711,38.001183977,0.0243272316,29.7359027175,50.8757553101,10,,17.699624598,42.4354165792,39.8649573326,14.993193761,2.7064302639,20.5447416068,21.890673439,8.1522259238,7.1677306426,5.1255445125,8.045499659,7.9473163695,3.4266438219
MEX,Mexico,Latin America and the Caribbean,ENSANUT,2020,0.0280537845,7.3939232677,37.9416765326,2.9164948333,0.9286607564,0.0053981859,1.6399278601,22.1794013977,9,Child mortality,79.4160366058,7.3309317231,13.2530301809,79.4160384951,,3.0883848486,4.2425465167,4.1059354779,2.4371628936,0.5002223158,0.126878923,4.4488623779,1.6339681513
MDA,Moldova,Europe and Central Asia,MICS,2012,0.0035339051,0.9436331806,37.4499879769,3.6997331929,0.0632738376,...*,0.0575405343,6.0977649689,10,,9.1834820807,42.3809111118,48.4356105328,9.183482288,0,32.739317162,9.6415922695,9.4996770364,11.3416428506,9.1779982787,0.8689979103,8.6876290273,8.8596631773
MNG,Mongolia,East Asia and the Pacific,MICS,2018,0.0281268202,7.2584485854,38.7504573497,15.5045609391,0.7762919125,0.0042089629,0.841871615,11.5985059738,10,,21.0932165384,26.7964988947,52.1102845669,16.6798396948,4.4133774794,17.1628295825,9.6336701084,13.7089009064,13.8876580182,9.4017163707,1.5351771266,12.1422393006,1.4345914123
MNE,Montenegro,Europe and Central Asia,MICS,2018,0.0048989004,1.2357647754,39.6426609949,2.8880687912,0.0594572535,...*,0.761911018,61.6550216675,10,,58.4657967091,22.3190352321,19.2151665688,32.4519850142,26.013811213,11.6882409419,10.6307953398,12.638130518,1.9628695719,0.1606612588,0.5651508909,3.3289948811,0.5593603703
MAR,Morocco,Arab States,PAPFAM,2018,0.0266967234,6.3597006421,41.977956108,10.8642237581,1.4231562843,0.0122128697,1.3637493054,21.4436092377,10,,24.3726953864,46.8275845051,28.7997186184,20.9851981551,3.3874976308,30.9937109198,15.8338734943,3.9278183351,4.9825315598,7.2489891939,2.1730198787,8.0024637908,2.4648970416
MOZ,Mozambique,Sub-Saharan Africa,DHS,2011,0.4169554122,73.1365866257,57.0105102505,13.2889239415,49.8830575277,0.0234770756,39.6766510371,54.2500724792,10,,18.0048018694,32.1070045233,49.8881936073,14.9363471553,3.0684539332,20.1516438344,11.9553611075,9.6978279548,8.6160685444,7.4498051825,9.0593474028,9.2544732201,5.8106716649
MMR,Myanmar,East Asia and the Pacific,DHS,2016,0.1758462245,38.3158581193,45.8938500052,21.9165951099,13.8448225727,0.0146893151,8.49239514,22.1641788483,10,,18.495349586,32.2777509689,49.2268979549,16.5945733431,1.9007768166,23.706703666,8.5710479492,11.769577571,8.7330644373,4.2953570282,8.415899928,11.0418135375,4.9711857232
NAM,Namibia,Sub-Saharan Africa,DHS,2013,0.1847345349,40.8810108322,45.1883481169,19.2184289808,13.0765381684,0.0126387216,16.3877096605,40.0863609314,10,,31.6448450089,13.917581737,54.4375777245,28.2716190128,3.3732246147,6.6136716284,7.3039093273,11.536248128,11.2131388523,6.2821976757,11.0238957741,9.596163049,4.7859319377
NPL,Nepal,South Asia,MICS,2019,0.074398902,17.5045955349,42.5024970711,17.8443527932,4.8607345598,0.0098231137,5.2357540798,29.9107398987,10,,23.1621325016,33.8744789362,42.9633885622,20.9180439813,2.2440878629,26.0790749094,7.795404425,12.1407195804,4.8672708615,1.9842443513,4.1097809381,12.1555342803,7.7058388097
NIC,Nicaragua,Latin America and the Caribbean,DHS,2012,0.0744948917,16.4601998046,45.2575865144,13.3601734168,5.6079434648,0.013273946,3.5149817752,21.354429245,10,,11.4601485431,36.2343251705,52.3055315018,10.0211777388,1.4389709345,28.0020679249,8.2322561784,12.0880301018,4.6056964282,10.1592655488,8.5657906223,10.076110639,6.8106338832
